iter	RMSE
206	0.186626406
207	0.1865293443
208	0.1863942017
209	0.1863164456
210	0.186228369
211	0.1861059065
212	0.1860377343
213	0.1859116156
214	0.1858177133
215	0.1857725702
216	0.1856769877
217	0.1856128807
218	0.1855410801
219	0.1853762864
220	0.1852949996
221	0.1851919823
222	0.1851323408
223	0.1850350101
224	0.1848781432
225	0.1848197618
226	0.184734394
227	0.1846291991
228	0.1845617177
229	0.1844212797
230	0.1842832841
231	0.1842396116
232	0.1840718264
233	0.1839845036
234	0.1839089579
235	0.1838319325
236	0.1837029949
237	0.1836478223
238	0.1835412802
239	0.1834341222
240	0.1833737114
241	0.1833246764
242	0.1831695992
243	0.1830875538
244	0.1829358527
245	0.1828733149
246	0.1828069847
247	0.1827333779
248	0.1826573778
249	0.1825174556
250	0.1824484557
251	0.1823205042
252	0.1822043999
253	0.1820849355
254	0.1820237338
255	0.1819164671
256	0.1818626112
257	0.1818239653
258	0.1817531784
259	0.1816574616
260	0.1815750178
261	0.1815060236
262	0.1814312353
263	0.1813471908
264	0.1812090314
265	0.1811172135
266	0.1810099437
267	0.1809115754
268	0.1808348236
269	0.1807715941
270	0.1806689009
271	0.1806125712
272	0.1805334021
273	0.1804910976
274	0.1804245852
275	0.1803502056
276	0.1803106088
277	0.1802352095
278	0.1801810863
279	0.1801050057
280	0.1800207146
281	0.1799717012
282	0.1799169295
283	0.1798462519
284	0.1797796073
285	0.1797235305
286	0.1796146217
287	0.1795553401
288	0.1794513465
289	0.1793902135
290	0.1793268231
291	0.1792896326
292	0.1792135873
293	0.179155416
294	0.1791234354
295	0.1790787659
296	0.1790015587
297	0.1789323891
298	0.1788739371
299	0.1788050732
300	0.1787405612
301	0.1787018935
302	0.1786487816
303	0.1785996532
304	0.1785482617
305	0.1784872951
306	0.1784202081
307	0.1783518944
308	0.1782886092
309	0.1782332834
310	0.1781704666
311	0.1781068024
312	0.1780575909
313	0.178024195
314	0.1779552969
315	0.1779181543
316	0.1778602836
317	0.1777839399
318	0.1777431192
319	0.1776928787
320	0.1776397607
321	0.1775813718
322	0.1775344756
323	0.177461962
324	0.1774055323
325	0.1773621189
326	0.1772998444
327	0.1772153172
328	0.1771627177
329	0.1771120408
330	0.177065627
331	0.1770168863
332	0.1769888978
333	0.1769569689
334	0.1769041943
335	0.1768427023
336	0.1768010214
337	0.1767371794
338	0.1766766392
339	0.1766251919
340	0.176577075
341	0.1765134094
342	0.1764379169
343	0.176374576
344	0.1763310526
345	0.1762795112
346	0.1762120454
347	0.1761116516
348	0.1760848679
349	0.1760379514
350	0.1759783174
351	0.175936197
352	0.175880929
353	0.1758240442
354	0.1757706005
355	0.1757355971
356	0.1756902553
357	0.1756443281
358	0.1756034915
359	0.1755806041
360	0.1755347159
361	0.1754693056
362	0.1754089592
363	0.1753683143
364	0.1753262467
365	0.1752716851
366	0.1752415853
367	0.1751816002
368	0.1751246345
369	0.175081507
370	0.1750427979
371	0.1749911723
372	0.1749561521
373	0.1748944701
374	0.1748614573
375	0.1747710106
376	0.1747365913
377	0.1746644084
378	0.1746108618
379	0.1745522864
380	0.1744904051
381	0.1744483172
382	0.1743888243
383	0.1743493358
384	0.1743047082
385	0.1742493887
386	0.1741994279
387	0.1741424739
388	0.1740912374
389	0.1740543836
390	0.1740035773
391	0.1739649991
392	0.1739337802
393	0.1738693137
394	0.1738256974
395	0.173761105
396	0.1737259999
397	0.1736838499
398	0.1736462299
399	0.1736025496
400	0.1735766135
401	0.1735411562
402	0.1734919872
403	0.1734555149
404	0.1733960927
405	0.1733685539
406	0.1733182127
407	0.1732649267
408	0.1732007174
409	0.1731695128
410	0.1731302234
411	0.1730668189
412	0.1730223403
413	0.172989525
414	0.172958745
415	0.1729191734
416	0.1728873796
417	0.1728370795
418	0.1727696333
419	0.1727324634
420	0.1727058086
421	0.1726552735
422	0.1726094098
423	0.172534095
424	0.1725032817
425	0.1724311405
426	0.1723875562
427	0.1723334218
428	0.172291876
429	0.172267186
430	0.1722328976
431	0.1722129655
432	0.1721710034
433	0.17211622
434	0.1720630111
435	0.1720141696
436	0.1719613995
437	0.1719211173
438	0.171879392
439	0.1718478381
440	0.1717830147
441	0.171747095
442	0.1717207438
443	0.1716877748
444	0.1716526778
445	0.1716069001
446	0.1715502501
447	0.1715081268
448	0.1714672513
449	0.1714158117
450	0.1713717195
451	0.171318545
452	0.171265332
453	0.1711857472
454	0.1711506328
455	0.1710966822
456	0.1710531403
457	0.1710020072
458	0.170976825
459	0.1709280182
460	0.1708855192
461	0.1708519844
462	0.1708012154
463	0.1707721153
464	0.1707256161
465	0.1706919045
466	0.1706554499
467	0.170609148
468	0.1705905513
469	0.1705470971
470	0.170481367
471	0.1704461197
472	0.170414842
473	0.1703538254
474	0.1703235947
475	0.1702961833
476	0.1702268972
477	0.1701969665
478	0.1701683939
479	0.1701355072
480	0.1700966899
481	0.1700534914
482	0.1700098957
483	0.1699721318
484	0.1699546104
485	0.1699285528
486	0.1698839807
487	0.1698233733
488	0.1697791725
489	0.1697372212
490	0.1697090335
491	0.1696815294
492	0.1696506557
493	0.1696076827
494	0.1695593946
495	0.1695154095
496	0.1694811215
497	0.1694272337
498	0.1693955804
499	0.1693547186
